jornadas;fecha;clasificacion;equipo;puntos;partidos_jugados;partidos_ganados;partidos_empatados;partidos_perdidos;goles_a_favor;goles_en_contra
33;2021/04/29;19;Huesca;27;33;5;12;16;31;50
33;2021/04/29;20;Eibar;23;33;4;11;18;23;46
34;2021/04/30;1;Atlético de Madrid;76;34;23;7;4;61;22
34;2021/04/30;2;Real Madrid;74;34;22;8;4;58;24
34;2021/04/30;3;Barcelona;74;34;23;5;6;80;33
34;2021/04/30;4;Sevilla;70;34;22;4;8;49;27
34;2021/04/30;5;R. Sociedad;53;34;14;11;9;51;35
34;2021/04/30;6;Villarreal;52;34;13;13;8;51;38
34;2021/04/30;7;Real Betis;51;34;14;9;11;43;46
34;2021/04/30;8;Granada;45;34;13;6;15;43;55
34;2021/04/30;9;Athletic;45;34;11;12;11;44;36
34;2021/04/30;10;Celta;44;34;11;11;12;46;51
34;2021/04/30;11;Osasuna;40;34;10;10;14;31;41
34;2021/04/30;12;Cádiz;40;34;10;10;14;29;49
34;2021/04/30;13;Levante;38;34;9;11;14;38;48
34;2021/04/30;14;Valencia;36;34;8;12;14;43;51
34;2021/04/30;15;Getafe;34;34;8;10;16;26;40
34;2021/04/30;16;Alavés;31;34;7;10;17;28;52
34;2021/04/30;17;Real Valladolid;31;34;5;16;13;32;46
34;2021/04/30;18;Huesca;30;34;6;12;16;32;50
34;2021/04/30;19;Elche;30;34;6;12;16;29;50
34;2021/04/30;20;Eibar;26;34;5;11;18;26;46
35;2021/05/07;1;Atlético de Madrid;77;35;23;8;4;61;22
35;2021/05/07;2;Real Madrid;75;35;22;9;4;60;26
35;2021/05/07;3;Barcelona;75;35;23;6;6;80;33
35;2021/05/07;4;Sevilla;71;35;22;5;8;51;29
35;2021/05/07;5;R. Sociedad;56;35;15;11;9;53;35
35;2021/05/07;6;Real Betis;54;35;15;9;11;45;47
35;2021/05/07;7;Villarreal;52;35;13;13;9;53;42
35;2021/05/07;8;Celta;47;35;12;11;12;50;53
35;2021/05/07;9;Athletic;46;35;11;13;11;46;38
35;2021/05/07;10;Granada;45;35;13;6;16;44;57
35;2021/05/07;11;Cádiz;43;35;11;10;14;31;50
35;2021/05/07;12;Osasuna;41;35;10;11;14;33;43
35;2021/05/07;13;Valencia;39;35;9;12;14;46;51
35;2021/05/07;14;Levante;39;35;9;12;14;40;50
35;2021/05/07;15;Getafe;34;35;8;10;17;26;41
35;2021/05/07;16;Alavés;32;35;7;11;17;30;54
35;2021/05/07;17;Real Valladolid;31;35;5;16;14;32;49
35;2021/05/07;18;Huesca;30;35;6;12;17;33;52
35;2021/05/07;19;Elche;30;35;6;12;17;29;52
35;2021/05/07;20;Eibar;29;35;6;11;18;27;46
36;2021/05/11;1;Atlético de Madrid;80;36;24;8;4;63;23
36;2021/05/11;2;Real Madrid;78;36;23;9;4;64;27
36;2021/05/11;3;Barcelona;76;36;23;7;6;83;36
36;2021/05/11;4;Sevilla;74;36;23;5;8;52;29
36;2021/05/11;5;R. Sociedad;56;36;15;11;10;54;37
36;2021/05/11;6;Real Betis;55;36;15;10;11;46;48
36;2021/05/11;7;Villarreal;55;36;14;13;9;55;42
36;2021/05/11;8;Celta;50;36;13;11;12;51;53
36;2021/05/11;9;Athletic;46;36;11;13;12;46;39
36;2021/05/11;10;Granada;45;36;13;6;17;45;61
36;2021/05/11;11;Osasuna;44;36;11;11;14;36;45
36;2021/05/11;12;Cádiz;43;36;11;10;15;33;53
36;2021/05/11;13;Levante;40;36;9;13;14;43;53
36;2021/05/11;14;Valencia;39;36;9;12;15;46;52
36;2021/05/11;15;Alavés;35;36;8;11;17;32;54
36;2021/05/11;16;Getafe;34;36;8;10;18;26;42
36;2021/05/11;17;Huesca;33;36;7;12;17;34;52
36;2021/05/11;18;Real Valladolid;31;36;5;16;15;32;51
36;2021/05/11;19;Elche;30;36;6;12;18;29;54
36;2021/05/11;20;Eibar;30;36;6;12;18;28;47
37;2021/05/16;1;Atlético de Madrid;83;37;25;8;4;65;24
37;2021/05/16;2;Real Madrid;81;37;24;9;4;65;27
37;2021/05/16;3;Barcelona;76;37;23;7;7;84;38
37;2021/05/16;4;Sevilla;74;37;23;5;9;52;33
37;2021/05/16;5;R. Sociedad;59;37;16;11;10;58;38
37;2021/05/16;6;Real Betis;58;37;16;10;11;47;48
37;2021/05/16;7;Villarreal;58;37;15;13;9;59;42
37;2021/05/16;8;Celta;53;37;14;11;12;53;54
37;2021/05/16;9;Athletic;46;37;11;13;13;46;40
37;2021/05/16;10;Granada;45;37;13;6;18;47;65
37;2021/05/16;11;Osasuna;44;37;11;11;15;37;47
37;2021/05/16;12;Cádiz;43;37;11;10;16;34;56
37;2021/05/16;13;Valencia;42;37;10;12;15;50;53
37;2021/05/16;14;Levante;40;37;9;13;15;44;55
37;2021/05/16;15;Alavés;38;37;9;11;17;36;56
37;2021/05/16;16;Getafe;37;37;9;10;18;28;43
37;2021/05/16;17;Huesca;33;37;7;12;18;34;53
37;2021/05/16;18;Elche;33;37;7;12;18;32;55
37;2021/05/16;19;Real Valladolid;31;37;5;16;16;33;55
37;2021/05/16;20;Eibar;30;37;6;12;19;29;51
38;2021/05/21;1;Atlético de Madrid;86;38;26;8;4;67;25
38;2021/05/21;2;Real Madrid;84;38;25;9;4;67;28
38;2021/05/21;3;Barcelona;79;38;24;7;7;85;38
38;2021/05/21;4;Sevilla;77;38;24;5;9;53;33
38;2021/05/21;5;R. Sociedad;62;38;17;11;10;59;38
38;2021/05/21;6;Real Betis;61;38;17;10;11;50;50
38;2021/05/21;7;Villarreal;58;38;15;13;10;60;44
38;2021/05/21;8;Celta;53;38;14;11;13;55;57
38;2021/05/21;9;Granada;46;38;13;7;18;47;65
38;2021/05/21;10;Athletic;46;38;11;13;14;46;42
38;2021/05/21;11;Osasuna;44;38;11;11;16;37;48
38;2021/05/21;12;Cádiz;44;38;11;11;16;36;58
38;2021/05/21;13;Valencia;43;38;10;13;15;50;53
38;2021/05/21;14;Levante;41;38;9;14;15;46;57
38;2021/05/21;15;Getafe;38;38;9;11;18;28;43
38;2021/05/21;16;Alavés;38;38;9;11;18;36;57
38;2021/05/21;17;Elche;36;38;8;12;18;34;55
38;2021/05/21;18;Huesca;34;38;7;13;18;34;53
38;2021/05/21;19;Real Valladolid;31;38;5;16;17;34;57
38;2021/05/21;20;Eibar;30;38;6;12;20;29;52
